Date,Open_Interest_All,MM_Net,MM_Long,MM_Short,Prod_Net,MM_Net_pct,Prod_Net_pct,MM_Net_pct_rank
2020-06-09,181259,5649,32831,27182,-61119,3.12,-33.72,22.6
2020-06-16,171047,1065,31697,30632,-56230,0.62,-32.87,19.0
2020-06-23,159309,3157,32550,29393,-55974,1.98,-35.14,21.2
2020-06-30,161481,6702,33999,27297,-59759,4.15,-37.01,24.3
2020-07-07,168486,18449,39075,20626,-73247,10.95,-43.47,36.8
2020-07-14,174373,27089,44750,17661,-82268,15.54,-47.18,47.0
2020-07-21,177528,27844,46852,19008,-83483,15.68,-47.03,47.8
2020-07-28,173711,23715,42055,18340,-77521,13.65,-44.63,42.6
2020-08-04,181232,29786,43244,13458,-86505,16.44,-47.73,52.1
2020-08-11,191194,37689,50287,12598,-93783,19.71,-49.05,62.0
2020-08-18,192683,38413,49998,11585,-93831,19.94,-48.7,62.9
2020-08-25,201083,45900,55615,9715,-106042,22.83,-52.74,69.8
2020-09-01,209578,50290,60108,9818,-111793,24.0,-53.34,71.6
2020-09-08,217214,43725,54754,11029,-99604,20.13,-45.86,63.2
2020-09-15,221730,46677,54431,7754,-103838,21.05,-46.83,65.6
2020-09-22,221320,47667,57069,9402,-103213,21.54,-46.64,66.4
2020-09-29,222149,47444,57090,9646,-107116,21.36,-48.22,65.7
2020-10-06,226996,49375,58470,9095,-114863,21.75,-50.6,66.7
2020-10-13,232894,55430,63384,7954,-122347,23.8,-52.53,71.4
2020-10-20,240999,60444,68993,8549,-130625,25.08,-54.2,74.9
2020-10-27,248102,65383,74488,9105,-137877,26.35,-55.57,78.0
2020-11-03,246116,59143,68735,9592,-130514,24.03,-53.03,71.7
2020-11-10,238470,54292,65908,11616,-127178,22.77,-53.33,69.2
2020-11-17,220441,56086,63196,7110,-136214,25.44,-61.79,76.1
2020-11-24,219548,60030,67246,7216,-138801,27.34,-63.22,81.3
2020-12-01,218461,58836,66585,7749,-134844,26.93,-61.72,79.8
2020-12-08,211233,56994,65246,8252,-122461,26.98,-57.97,80.1
2020-12-15,222753,68625,75595,6970,-136891,30.81,-61.45,89.3
2020-12-21,225627,69610,75724,6114,-139278,30.85,-61.73,89.4
2020-12-29,223590,68076,74550,6474,-136045,30.45,-60.85,88.5
2021-01-05,237240,70644,76750,6106,-143463,29.78,-60.47,87.1
2021-01-12,246308,69702,75999,6297,-140372,28.3,-56.99,84.1
2021-01-19,248918,68323,75292,6969,-139027,27.45,-55.85,80.8
2021-01-26,254440,67910,76259,8349,-137783,26.69,-54.15,78.1
2021-02-02,249388,64050,72486,8436,-132215,25.68,-53.02,75.3
2021-02-09,253031,67498,71932,4434,-156137,26.68,-61.71,77.9
2021-02-16,244078,67807,71600,3793,-156568,27.78,-64.15,82.1
2021-02-23,249805,71593,74993,3400,-157159,28.66,-62.91,85.2
2021-03-02,240280,65161,68346,3185,-144986,27.12,-60.34,79.9
2021-03-09,233086,57068,61133,4065,-136037,24.48,-58.36,70.5
2021-03-16,232116,58726,61525,2799,-138775,25.3,-59.79,73.8
2021-03-23,229612,58262,61023,2761,-137052,25.37,-59.69,74.4
2021-03-30,228028,52472,55987,3515,-131173,23.01,-57.52,67.7
2021-04-06,229592,49891,54919,5028,-128242,21.73,-55.86,64.2
2021-04-13,222564,47766,52693,4927,-126680,21.46,-56.92,63.3
2021-04-20,213573,50131,54152,4021,-132407,23.47,-62.0,68.7
2021-04-27,220804,56502,59415,2913,-145495,25.59,-65.89,74.9
2021-05-04,221190,55782,59139,3357,-145581,25.22,-65.82,73.5
2021-05-11,227839,53260,57919,4659,-147184,23.38,-64.6,68.1
2021-05-18,223538,44019,51912,7893,-136116,19.69,-60.89,58.4
2021-05-25,222666,33654,42399,8745,-128017,15.11,-57.49,42.8
2021-06-01,230311,32323,41784,9461,-129335,14.03,-56.16,41.1
2021-06-08,228847,34860,43613,8753,-133661,15.23,-58.41,43.4
2021-06-15,216338,39748,46476,6728,-136592,18.37,-63.14,55.0
2021-06-22,207866,41385,48092,6707,-132661,19.91,-63.82,59.8
2021-06-29,215448,50372,55962,5590,-136968,23.38,-63.57,68.4
2021-07-06,221249,50159,57056,6897,-136593,22.67,-61.74,66.9
2021-07-13,226738,54239,61807,7568,-140674,23.92,-62.04,69.9
2021-07-20,233874,57012,66654,9642,-144374,24.38,-61.73,70.5
2021-07-27,245376,61680,70607,8927,-155543,25.14,-63.39,73.6
2021-08-03,249315,65187,73405,8218,-154685,26.15,-62.04,76.8
2021-08-10,260961,70866,77380,6514,-161148,27.16,-61.75,80.5
2021-08-17,264618,79088,83403,4315,-172610,29.89,-65.23,87.7
2021-08-24,269446,81935,87102,5167,-169807,30.41,-63.02,88.9
2021-08-31,269133,87549,90367,2818,-167808,32.53,-62.35,92.6
2021-09-07,273868,89069,91281,2212,-171390,32.52,-62.58,92.5
2021-09-14,273192,90063,92882,2819,-168607,32.97,-61.72,94.1
2021-09-21,262583,80170,84406,4236,-149214,30.53,-56.83,89.0
2021-09-28,283425,91831,93208,1377,-175252,32.4,-61.83,92.1
2021-10-05,290858,93609,94736,1127,-178783,32.18,-61.47,91.8
2021-10-12,286879,85267,85950,683,-168894,29.72,-58.87,86.6
2021-10-19,284560,78595,79416,821,-160856,27.62,-56.53,80.5
2021-10-26,285111,74130,75064,934,-157710,26.0,-55.32,75.2
2021-11-02,284931,74634,75159,525,-159332,26.19,-55.92,75.7
2021-11-09,285047,76382,77359,977,-161118,26.8,-56.52,77.6
2021-11-16,266648,82390,82925,535,-166662,30.9,-62.5,89.5
2021-11-23,261005,82478,83783,1305,-165733,31.6,-63.5,90.8
2021-11-30,244866,76853,78727,1874,-145732,31.39,-59.52,90.5
