Date,Open_Interest_All,MM_Net,MM_Long,MM_Short,Prod_Net,MM_Net_pct,Prod_Net_pct,MM_Net_pct_rank
2021-12-07,234981,69025,70368,1343,-138716,29.37,-59.03,85.6
2021-12-14,233174,68629,69862,1233,-137677,29.43,-59.04,85.8
2021-12-21,229924,70118,70392,274,-137106,30.5,-59.63,88.2
2021-12-28,234850,74091,74268,177,-141427,31.55,-60.22,90.6
2022-01-04,243395,79062,79536,474,-148834,32.48,-61.15,92.3
2022-01-11,244451,75662,76131,469,-144473,30.95,-59.1,89.2
2022-01-18,248433,75743,76983,1240,-144430,30.49,-58.14,87.7
2022-01-25,251988,75234,77452,2218,-139897,29.86,-55.52,85.9
2022-02-01,260902,79155,80615,1460,-143822,30.34,-55.12,87.3
2022-02-08,266786,79236,80688,1452,-145738,29.7,-54.63,85.4
2022-02-15,247474,76942,79194,2252,-146091,31.09,-59.03,89.9
2022-02-22,236709,73963,75890,1927,-143646,31.25,-60.68,90.1
2022-03-01,238940,73724,74852,1128,-144712,30.85,-60.56,88.5
2022-03-08,228765,69717,71093,1376,-137423,30.48,-60.07,87.3
2022-03-15,220258,66651,69251,2600,-131238,30.26,-59.58,86.6
2022-03-22,230557,73685,75286,1601,-138524,31.96,-60.08,91.3
2022-03-29,227449,74828,76328,1500,-128277,32.9,-56.4,94.1
2022-04-05,233264,78572,79627,1055,-127987,33.68,-54.87,95.8
2022-04-12,220906,77517,78505,988,-129422,35.09,-58.59,96.9
2022-04-19,209419,72001,73355,1354,-129546,34.38,-61.86,96.5
2022-04-26,202346,67889,68898,1009,-123325,33.55,-60.95,95.0
2022-05-03,206391,70445,70969,524,-126707,34.13,-61.39,96.1
2022-05-10,202080,69442,70514,1072,-118309,34.36,-58.55,96.3
2022-05-17,202738,66075,66851,776,-115784,32.59,-57.11,92.1
2022-05-24,204678,60841,62445,1604,-107769,29.73,-52.65,84.0
2022-05-31,212230,59823,61986,2163,-105259,28.19,-49.6,80.1
2022-06-07,211503,62305,63484,1179,-103219,29.46,-48.8,83.4
2022-06-14,199444,61274,63445,2171,-102580,30.72,-51.43,87.0
2022-06-21,191861,59245,61581,2336,-98711,30.88,-51.45,87.7
2022-06-28,175241,44975,49394,4419,-85066,25.66,-48.54,70.9
2022-07-05,174319,38480,46389,7909,-71802,22.07,-41.19,60.5
2022-07-12,176374,33379,43351,9972,-62264,18.93,-35.3,52.7
2022-07-19,179050,31875,43054,11179,-57014,17.8,-31.84,49.7
2022-07-26,183848,30496,43389,12893,-58129,16.59,-31.62,45.9
2022-08-02,187399,28901,42828,13927,-57722,15.42,-30.8,40.8
2022-08-09,186992,29590,43826,14236,-59254,15.82,-31.69,42.9
2022-08-16,192925,39527,48217,8690,-70044,20.49,-36.31,57.6
2022-08-23,206585,46284,53821,7537,-73884,22.4,-35.76,62.0
2022-08-30,212277,49571,57718,8147,-75074,23.35,-35.37,64.0
2022-09-06,211548,46756,54710,7954,-70043,22.1,-33.11,60.7
2022-09-13,209616,44926,52474,7548,-66911,21.43,-31.92,58.9
2022-09-20,215483,38798,46035,7237,-61240,18.01,-28.42,50.3
2022-09-27,219294,38155,46036,7881,-54544,17.4,-24.87,48.5
2022-10-04,224735,29521,44000,14479,-54330,13.14,-24.18,35.4
2022-10-11,232212,23576,42019,18443,-52803,10.15,-22.74,29.3
2022-10-18,238208,19285,39901,20616,-47621,8.1,-19.99,25.6
2022-10-25,245987,11907,39039,27132,-38326,4.84,-15.58,21.7
2022-11-01,255458,4169,37460,33291,-26826,1.63,-10.5,17.7
2022-11-08,234844,13074,38944,25870,-38676,5.57,-16.47,23.6
2022-11-15,200411,16414,39457,23043,-45489,8.19,-22.7,26.1
2022-11-22,191947,15863,38544,22681,-42028,8.26,-21.9,26.3
2022-11-29,194437,13446,38070,24624,-39471,6.92,-20.3,25.3
2022-12-06,194946,17111,39428,22317,-43055,8.78,-22.09,27.6
2022-12-13,198489,9053,36433,27380,-39714,4.56,-20.01,21.6
2022-12-20,195942,11263,36893,25630,-44109,5.75,-22.51,23.9
2022-12-27,191552,14757,36368,21611,-45143,7.7,-23.57,25.9
2023-01-03,197924,10048,34885,24837,-42257,5.08,-21.35,22.1
2023-01-10,201472,7487,31873,24386,-42075,3.72,-20.88,20.3
2023-01-17,203290,-3411,30124,33535,-35606,-1.68,-17.51,13.3
2023-01-24,208137,5556,33822,28266,-44341,2.67,-21.3,18.8
2023-01-31,210335,6111,35233,29122,-45653,2.91,-21.7,19.4
2023-02-07,210928,126,31282,31156,-42576,0.06,-20.19,15.3
2023-02-14,192913,846,31643,30797,-44891,0.44,-23.27,16.0
2023-02-21,185270,-14589,27687,42276,-28473,-7.87,-15.37,4.8
2023-02-28,186843,-8325,29827,38152,-33238,-4.46,-17.79,8.5
2023-03-07,184506,-4532,31045,35577,-34355,-2.46,-18.62,12.0
2023-03-14,188970,-15595,29028,44623,-25478,-8.25,-13.48,4.6
2023-03-21,196669,-25805,28195,54000,-16013,-13.12,-8.14,2.3
2023-03-28,200053,-25632,27266,52898,-17299,-12.81,-8.65,2.6
2023-04-04,193846,-18602,27006,45608,-21820,-9.6,-11.26,4.2
2023-04-11,186406,-16729,28244,44973,-26299,-8.97,-14.11,4.7
2023-04-18,168276,-9775,31632,41407,-43985,-5.81,-26.14,7.5
2023-04-25,168166,-21125,28350,49475,-28428,-12.56,-16.9,2.8
2023-05-02,172788,-22548,28197,50745,-28740,-13.05,-16.63,2.4
2023-05-09,176354,-14841,28729,43570,-37176,-8.42,-21.08,5.3
2023-05-16,184924,-14533,28709,43242,-37099,-7.86,-20.06,5.9
2023-05-23,192981,6348,36870,30522,-59619,3.29,-30.89,21.3
2023-05-30,196092,-108,33787,33895,-50520,-0.06,-25.76,16.4
2023-06-06,194270,2743,34853,32110,-59902,1.41,-30.83,19.0
2023-06-13,171880,-363,32534,32897,-59878,-0.21,-34.84,16.1
2023-06-20,170227,-7148,29637,36785,-52767,-4.2,-31.0,10.2
2023-06-27,173343,-17489,28969,46458,-44515,-10.09,-25.68,4.2
2023-07-03,175032,-10309,30210,40519,-48527,-5.89,-27.72,8.0
2023-07-11,175601,-41,32181,32222,-56235,-0.02,-32.02,16.9
2023-07-18,178003,3292,31278,27986,-62405,1.85,-35.06,20.0
2023-07-25,194350,27008,44519,17511,-84489,13.9,-43.47,40.2
2023-08-01,211204,34222,52230,18008,-90033,16.2,-42.63,47.4
2023-08-08,214088,29563,52033,22470,-85716,13.81,-40.04,40.1
2023-08-15,209939,31438,53657,22219,-85141,14.97,-40.56,42.0
2023-08-22,201232,25644,49650,24006,-78972,12.74,-39.24,37.5
2023-08-29,207010,37024,55885,18861,-85919,17.89,-41.5,52.7
2023-09-05,228746,51476,68206,16730,-99730,22.5,-43.6,64.6
2023-09-12,227631,46317,64078,17761,-91894,20.35,-40.37,59.6
2023-09-19,233332,46015,61722,15707,-92767,19.72,-39.76,57.3
2023-09-26,238493,44825,61347,16522,-89491,18.8,-37.52,54.9
2023-10-03,251554,53801,66457,12656,-97040,21.39,-38.58,61.3
2023-10-10,254318,46569,61643,15074,-89925,18.31,-35.36,53.5
2023-10-17,250696,31880,49801,17921,-70932,12.72,-28.29,37.1
2023-10-24,237196,27210,44391,17181,-56804,11.47,-23.95,35.1
2023-10-31,236950,24291,41862,17571,-53009,10.25,-22.37,32.2
2023-11-07,231985,6259,35572,29313,-40329,2.7,-17.38,20.7
2023-11-14,210504,-5826,34641,40467,-42498,-2.77,-20.19,12.3
2023-11-21,195165,-675,37688,38363,-39471,-0.35,-20.22,16.1
2023-11-28,192139,217,38461,38244,-34300,0.11,-17.85,17.1
2023-12-05,196836,1716,40310,38594,-36282,0.87,-18.43,18.6
2023-12-12,196830,9535,42835,33300,-45056,4.84,-22.89,24.5
2023-12-19,196977,1624,38533,36909,-39951,0.82,-20.28,18.4
2023-12-26,196746,-3198,35274,38472,-37996,-1.63,-19.31,14.7
2024-01-02,197450,-3660,33383,37043,-38615,-1.85,-19.56,14.4
2024-01-09,202869,-5866,33566,39432,-39140,-2.89,-19.29,12.1
2024-01-16,207773,-1262,36000,37262,-44234,-0.61,-21.29,16.3
2024-01-23,227697,26154,48727,22573,-70984,11.49,-31.17,36.2
2024-01-30,251498,30106,47020,16914,-77362,11.97,-30.76,37.5
2024-02-06,264909,46878,58258,11380,-95848,17.7,-36.18,52.4
2024-02-13,254149,71090,77585,6495,-123767,27.97,-48.7,80.9
2024-02-20,265175,85606,91739,6133,-131544,32.28,-49.61,92.1
2024-02-27,271860,93540,100954,7414,-137898,34.41,-50.72,96.9
2024-03-05,271301,96364,102413,6049,-134471,35.52,-49.57,97.3
2024-03-12,274927,93204,100187,6983,-132497,33.9,-48.19,95.6
2024-03-19,276278,89535,97594,8059,-127428,32.41,-46.12,91.9
2024-03-26,280565,84827,93524,8697,-124742,30.23,-44.46,86.1
2024-04-02,284839,80188,90315,10127,-127563,28.15,-44.78,81.1
2024-04-09,244710,60181,73639,13458,-113083,24.59,-46.21,69.3
2024-04-16,203577,35152,53139,17987,-94776,17.27,-46.56,50.7
2024-04-23,204086,8395,42235,33840,-67201,4.11,-32.93,23.2
2024-04-30,204757,-2860,37261,40121,-56628,-1.4,-27.66,14.8
2024-05-07,211893,-14508,31748,46256,-42726,-6.85,-20.16,6.3
2024-05-14,221271,-15857,33113,48970,-38854,-7.17,-17.56,6.2
2024-05-21,227298,-23726,31528,55254,-32985,-10.44,-14.51,3.8
2024-05-28,228893,-13262,35636,48898,-38171,-5.79,-16.68,8.1
2024-06-04,231359,-24090,32530,56620,-27628,-10.41,-11.94,3.9
2024-06-11,223245,-35657,31108,66765,-22092,-15.97,-9.9,1.8
2024-06-18,216536,-43943,29479,73422,-17306,-20.29,-7.99,1.1
2024-06-25,212400,-36894,31304,68198,-20845,-17.37,-9.81,1.7
2024-07-02,210048,-30662,30229,60891,-26379,-14.6,-12.56,2.4
2024-07-09,214089,-39973,28130,68103,-18341,-18.67,-8.57,1.5
2024-07-16,218621,-39791,28387,68178,-18523,-18.2,-8.47,1.7
2024-07-23,224450,-44135,28874,73009,-8978,-19.66,-4.0,1.4
2024-07-30,228815,-47224,31196,78420,-5081,-20.64,-2.22,1.1
2024-08-06,226789,-52027,31578,83605,1156,-22.94,0.51,0.6
2024-08-13,227877,-49967,32866,82833,184,-21.93,0.08,0.8
2024-08-20,231389,-51509,31305,82814,555,-22.26,0.24,0.8
2024-08-27,227269,-44501,30300,74801,-3247,-19.58,-1.43,1.9
2024-09-03,228948,-41726,28628,70354,-3509,-18.23,-1.53,2.4
2024-09-10,231505,-49286,26584,75870,4646,-21.29,2.01,1.2
2024-09-17,235001,-29018,31762,60780,-15887,-12.35,-6.76,4.6
2024-09-24,230371,-15807,33394,49201,-26350,-6.86,-11.44,8.2
2024-10-01,233189,-9986,34393,44379,-31403,-4.28,-13.47,11.8
2024-10-08,244771,-9960,36236,46196,-35537,-4.07,-14.52,12.5
2024-10-15,247325,-11416,38446,49862,-35591,-4.62,-14.39,11.4
2024-10-22,260938,-5546,40546,46092,-39051,-2.13,-14.97,15.9
2024-10-29,262891,-10687,40947,51634,-32038,-4.07,-12.19,12.7
2024-11-05,266595,-11268,41184,52452,-29230,-4.23,-10.96,12.0
2024-11-12,253040,-14872,42029,56901,-29303,-5.88,-11.58,9.7
2024-11-19,240002,-37814,34407,72221,-7397,-15.76,-3.08,3.2
2024-11-26,231723,-20350,36708,57058,-17332,-8.78,-7.48,6.8
2024-12-03,231775,-16986,38390,55376,-23840,-7.33,-10.29,7.9
2024-12-10,231574,-24141,37380,61521,-19837,-10.42,-8.57,5.5
2024-12-17,239659,-31981,36403,68384,-13648,-13.34,-5.69,3.8
2024-12-24,237109,-36954,34999,71953,-8743,-15.59,-3.69,3.4
2024-12-31,238272,-41422,32777,74199,-6790,-17.38,-2.85,2.8
2025-01-07,242742,-40705,34165,74870,-6851,-16.77,-2.82,3.2
2025-01-14,256759,-45327,36079,81406,-5405,-17.65,-2.11,2.6
2025-01-21,269868,-50267,36424,86691,-2038,-18.63,-0.76,2.3
2025-01-28,276543,-56191,34332,90523,391,-20.32,0.14,1.7
2025-02-04,289974,-65433,34100,99533,9089,-22.57,3.13,0.8
2025-02-11,287555,-60693,34916,95609,-4983,-21.11,-1.73,1.5
2025-02-18,278259,-57550,36665,94215,-17568,-20.68,-6.31,1.8
2025-02-25,268701,-68391,34026,102417,-8362,-25.45,-3.11,0.1
2025-03-04,280617,-81508,32323,113831,16843,-29.05,6.0,0.1
2025-03-11,270769,-78014,29570,107584,10518,-28.81,3.88,0.2
2025-03-18,272839,-70787,30228,101015,3959,-25.94,1.45,0.3
2025-03-25,283040,-75815,29441,105256,9153,-26.79,3.23,0.3
2025-04-01,289328,-68341,31605,99946,-3227,-23.62,-1.12,0.9
2025-04-08,266116,-58203,29541,87744,-8737,-21.87,-3.28,1.7
2025-04-15,222397,-43903,29921,73824,-20457,-19.74,-9.2,3.0
2025-04-22,217691,-39174,31184,70358,-21590,-18.0,-9.92,4.0
2025-04-29,210605,-28157,34844,63001,-25879,-13.37,-12.29,5.6
2025-05-06,219537,-23981,37109,61090,-27683,-10.92,-12.61,7.5
2025-05-13,224743,-31498,36248,67746,-20322,-14.02,-9.04,5.6
2025-05-20,235995,-41886,33637,75523,-9986,-17.75,-4.23,4.1
2025-05-27,235156,-44553,33345,77898,-9463,-18.95,-4.02,3.5
2025-06-03,239377,-47164,33568,80732,-12843,-19.7,-5.37,3.1
2025-06-10,231537,-53512,31352,84864,-7233,-23.11,-3.12,1.1
2025-06-17,217909,-50979,32573,83552,-10117,-23.39,-4.64,1.1
2025-06-24,204881,-48229,34342,82571,-12101,-23.54,-5.91,1.0
2025-07-01,201069,-42953,29769,72722,-14352,-21.36,-7.14,2.4
2025-07-08,205957,-46754,28775,75529,-12912,-22.7,-6.27,1.7
2025-07-15,211767,-39670,30440,70110,-16849,-18.73,-7.96,4.2
2025-07-22,218828,-41455,28932,70387,-15641,-18.94,-7.15,4.2
2025-07-29,223445,-41452,30239,71691,-14982,-18.55,-6.71,4.6
2025-08-05,235079,-55882,31725,87607,-4959,-23.77,-2.11,0.7
2025-08-12,242389,-57325,31466,88791,1384,-23.65,0.57,1.0
2025-08-19,241165,-56813,32122,88935,-6937,-23.56,-2.88,1.2
2025-08-26,242777,-60985,29621,90606,-4860,-25.12,-2.0,0.6
2025-09-02,253334,-67283,31210,98493,4458,-26.56,1.76,0.4
2025-09-09,257154,-69548,32443,101991,9226,-27.05,3.59,0.3
2025-09-16,258584,-60280,35128,95408,1305,-23.31,0.5,1.9
2025-09-23,265373,-62771,34556,97327,4849,-23.65,1.83,1.4
2025-09-30,278283,-65025,37918,102943,11689,-23.37,4.2,2.0
2025-10-07,278939,-75997,35354,111351,22623,-27.25,8.11,0.3
2025-10-14,294187,-80436,38261,118697,31264,-27.34,10.63,0.3
2025-10-21,287348,-79906,37191,117097,24008,-27.81,8.36,0.3
2025-10-28,293885,-73602,37378,110980,17241,-25.04,5.87,1.3
2025-11-04,303302,-64282,37992,102274,2990,-21.19,0.99,4.1
2025-11-10,296349,-61227,37376,98603,6463,-20.66,2.18,4.5
2025-11-18,279627,-59719,37752,97471,5712,-21.36,2.04,3.9
2025-11-25,279249,-63430,38019,101449,4205,-22.71,1.51,3.0
2025-12-02,283123,-60705,39462,100167,-863,-21.44,-0.3,3.9
2025-12-09,289386,-56289,42173,98462,-3639,-19.45,-1.26,5.9
2025-12-16,297995,-56623,44258,100881,-1214,-19.0,-0.41,6.0
2025-12-23,300552,-49723,44939,94662,-6918,-16.54,-2.3,7.9
2025-12-30,300962,-48556,44182,92738,-7279,-16.13,-2.42,8.0
2026-01-06,311647,-47192,41132,88324,-9426,-15.14,-3.02,8.6
2026-01-13,327793,-49727,43045,92772,-13247,-15.17,-4.04,8.6
2026-01-20,338853,-51546,43511,95057,-17723,-15.21,-5.23,8.5
2026-01-27,362629,-64982,44121,109103,-259,-17.92,-0.07,7.1
2026-02-03,380025,-72336,44468,116804,-2694,-19.03,-0.71,5.9
2026-02-10,360578,-76513,42098,118611,-2220,-21.22,-0.62,4.4
2026-02-17,338635,-80705,42337,123042,-3243,-23.83,-0.96,1.3
2026-02-24,320823,-66281,42606,108887,-32282,-20.66,-10.06,5.1
2026-03-03,328391,-74199,42311,116510,-33200,-22.59,-10.11,3.3
2026-03-10,329892,-67950,45063,113013,-31665,-20.6,-9.6,5.4
2026-03-17,341326,-39838,49552,89390,-66930,-11.67,-19.61,11.4
2026-03-24,327959,-33546,41405,74951,-73487,-10.23,-22.41,12.2
